#req	time (sec)	avg. time (sec)	mapping
0	0.710	0.000	ERR
1	0.569	0.000	ERR
2	0.296	0.000	ERR
3	0.298	0.000	ERR
4	0.299	0.000	ERR
5	0.439	0.000	ERR
6	0.734	0.000	ERR
7	0.567	0.000	ERR
8	0.297	0.000	ERR
9	1.804	0.000	OK
10	0.613	0.591	ERR
11	0.416	0.576	ERR
12	0.296	0.576	ERR
13	1.748	0.721	OK
14	1.808	0.872	OK
15	0.708	0.899	ERR
16	0.296	0.855	ERR
17	1.865	0.985	OK
18	0.416	0.997	ERR
19	0.594	0.876	ERR
20	0.416	0.856	ERR
21	0.297	0.844	ERR
22	1.852	1.000	OK
23	0.573	0.882	ERR
24	1.891	0.891	OK
25	0.418	0.862	ERR
26	0.564	0.888	ERR
27	0.579	0.760	ERR
28	0.425	0.761	ERR
29	0.590	0.760	ERR
30	0.848	0.804	ERR
31	1.869	0.961	OK
32	0.562	0.832	ERR
33	0.566	0.831	ERR
34	0.590	0.701	ERR
35	0.737	0.733	ERR
36	0.587	0.735	ERR
37	0.711	0.749	ERR
38	0.878	0.794	ERR
39	0.574	0.792	ERR
40	0.882	0.796	ERR
41	0.874	0.696	ERR
42	0.297	0.670	ERR
43	0.566	0.670	ERR
44	0.695	0.680	ERR
45	0.729	0.679	ERR
46	0.585	0.679	ERR
47	0.299	0.638	ERR
48	0.417	0.592	ERR
49	1.872	0.722	OK
50	0.864	0.720	ERR
51	0.555	0.688	ERR
52	0.737	0.732	ERR
53	1.812	0.856	OK
54	0.736	0.860	ERR
55	0.717	0.859	ERR
56	0.431	0.844	ERR
57	0.734	0.887	ERR
58	0.702	0.916	ERR
59	0.567	0.786	ERR
60	0.438	0.743	ERR
61	0.441	0.732	ERR
62	0.279	0.686	ERR
63	0.412	0.546	ERR
64	0.606	0.533	ERR
65	0.855	0.546	ERR
66	0.714	0.575	ERR
67	0.440	0.545	ERR
68	0.417	0.517	ERR
69	0.722	0.532	ERR
70	0.448	0.533	ERR
71	0.615	0.551	ERR
72	0.884	0.611	ERR
73	0.419	0.612	ERR
74	1.843	0.736	OK
75	0.854	0.736	ERR
76	1.852	0.849	OK
77	0.894	0.895	ERR
78	0.604	0.914	ERR
79	0.714	0.913	ERR
80	0.728	0.941	ERR
81	0.588	0.938	ERR
82	0.595	0.909	ERR
83	0.732	0.940	ERR
