#req	time (sec)	avg. time (sec)	mapping
244	3.672	2.139	OK
245	1.759	2.138	OK
246	1.793	2.138	OK
247	1.713	2.137	OK
248	1.777	2.134	OK
249	3.615	2.317	OK
250	1.733	2.129	OK
251	3.569	2.314	OK
252	5.462	2.683	OK
253	1.889	2.698	OK
254	1.915	2.522	OK
255	3.638	2.710	OK
256	1.762	2.707	OK
257	3.623	2.898	OK
258	1.801	2.901	OK
259	1.834	2.723	OK
260	1.724	2.722	OK
261	1.820	2.547	OK
262	1.790	2.180	OK
263	1.775	2.168	OK
264	3.598	2.337	OK
265	1.787	2.151	OK
266	1.742	2.149	OK
267	1.752	1.962	OK
268	1.716	1.954	OK
269	1.697	1.940	OK
270	1.791	1.947	OK
271	1.743	1.939	OK
272	1.944	1.955	OK
273	1.736	1.951	OK
274	3.674	1.958	OK
275	3.622	2.142	OK
276	1.871	2.155	OK
277	3.445	2.324	OK
278	1.847	2.337	OK
279	1.772	2.344	OK
280	5.819	2.747	OK
281	1.721	2.745	OK
282	1.785	2.729	OK
283	1.767	2.732	OK
284	1.844	2.549	OK
285	3.950	2.582	OK
286	1.759	2.571	OK
287	1.833	2.410	OK
288	1.780	2.403	OK
289	1.962	2.422	OK
290	2.001	2.040	OK
291	1.732	2.041	OK
292	1.783	2.041	OK
293	1.751	2.039	OK
294	1.760	2.031	OK
295	2.004	1.836	OK
296	1.986	1.859	OK
297	4.305	2.106	OK
298	1.747	2.103	OK
299	3.631	2.270	OK
300	3.969	2.467	OK
301	1.770	2.471	OK
302	1.787	2.471	OK
303	1.720	2.468	OK
304	1.809	2.473	OK
305	1.786	2.451	OK
306	1.749	2.427	OK
307	1.847	2.181	OK
308	1.941	2.201	OK
309	1.737	2.011	OK
310	1.748	1.789	OK
311	3.071	1.919	OK
312	1.956	1.936	OK
313	1.968	1.961	OK
314	1.759	1.956	OK
315	1.801	1.958	OK
316	3.615	2.144	OK
317	1.788	2.138	OK
318	1.724	2.117	OK
319	2.038	2.147	OK
320	1.768	2.149	OK
321	1.787	2.020	OK
322	1.878	2.013	OK
323	1.734	1.989	OK
324	1.783	1.992	OK
325	1.879	1.999	OK
326	3.670	2.005	OK
327	1.794	2.005	OK
328	1.749	2.008	OK
329	1.759	1.980	OK
330	3.672	2.171	OK
331	1.740	2.166	OK
332	1.754	2.153	OK
333	1.765	2.156	OK
334	3.639	2.342	OK
335	1.770	2.331	OK
336	1.727	2.137	OK
337	1.765	2.134	OK
338	1.751	2.134	OK
339	1.857	2.144	OK
340	1.796	1.956	OK
341	2.043	1.987	OK
342	1.736	1.985	OK
343	3.687	2.177	OK
344	5.469	2.360	OK
345	1.958	2.379	OK
346	1.795	2.386	OK
347	1.874	2.397	OK
348	1.840	2.405	OK
349	1.997	2.419	OK
350	1.716	2.411	OK
351	1.744	2.381	OK
352	1.958	2.404	OK
353	1.743	2.209	OK
354	3.853	2.048	OK
355	1.743	2.026	OK
356	3.589	2.206	OK
357	1.785	2.197	OK
358	3.224	2.335	OK
359	1.729	2.309	OK
360	1.908	2.328	OK
361	2.339	2.387	OK
362	1.793	2.371	OK
363	1.992	2.396	OK
364	1.745	2.185	OK
365	1.811	2.191	OK
366	1.775	2.010	OK
367	1.738	2.005	OK
368	1.766	1.860	OK
369	2.511	1.938	OK
370	3.823	2.129	OK
371	2.394	2.135	OK
372	1.786	2.134	OK
373	2.494	2.184	OK
374	3.629	2.373	OK
375	1.815	2.373	OK
376	1.762	2.372	OK
377	2.471	2.445	OK
378	1.867	2.455	OK
379	1.953	2.399	OK
380	2.350	2.252	OK
381	3.700	2.383	OK
382	1.762	2.380	OK
383	3.621	2.493	OK
384	2.503	2.380	OK
385	1.787	2.378	OK
386	1.781	2.379	OK
387	5.528	2.685	OK
388	1.819	2.680	OK
389	3.634	2.848	OK
390	1.765	2.790	OK
391	2.281	2.648	OK
392	1.728	2.645	OK
393	1.775	2.460	OK
394	2.169	2.427	OK
395	1.762	2.424	OK
396	1.802	2.426	OK
397	1.739	2.047	OK
398	1.727	2.038	OK
399	1.785	1.853	OK

---- Final results ----
400 NS requests
0 failed requests
400 success requests
875.617 ellapsed time
