#req	time (sec)	avg. time (sec)	mapping
0	0.698	0.000	ERR
1	0.286	0.000	ERR
2	0.543	0.000	ERR
3	0.586	0.000	ERR
4	0.285	0.000	ERR
5	0.403	0.000	ERR
6	0.422	0.000	ERR
7	0.851	0.000	ERR
8	0.730	0.000	ERR
9	1.801	0.000	OK
10	0.596	0.650	ERR
11	0.561	0.678	ERR
12	0.287	0.652	ERR
13	0.703	0.664	ERR
14	0.403	0.676	ERR
15	1.738	0.809	OK
16	0.442	0.811	ERR
17	1.795	0.906	OK
18	0.432	0.876	ERR
19	0.437	0.739	ERR
20	0.427	0.722	ERR
21	0.179	0.684	ERR
22	0.540	0.710	ERR
23	0.288	0.668	ERR
24	0.425	0.670	ERR
25	0.835	0.580	ERR
26	0.818	0.618	ERR
27	0.576	0.496	ERR
28	0.405	0.493	ERR
29	0.572	0.507	ERR
30	0.395	0.503	ERR
31	1.797	0.665	OK
32	0.404	0.652	ERR
33	1.739	0.797	OK
34	0.547	0.809	ERR
35	0.707	0.796	ERR
36	0.440	0.758	ERR
37	0.288	0.730	ERR
38	1.719	0.861	OK
39	0.422	0.846	ERR
40	0.547	0.861	ERR
41	0.688	0.750	ERR
42	0.551	0.765	ERR
43	0.409	0.632	ERR
44	0.570	0.634	ERR
45	0.859	0.649	ERR
46	0.556	0.661	ERR
47	0.703	0.702	ERR
48	0.579	0.588	ERR
49	1.763	0.722	OK
50	0.864	0.754	ERR
51	0.401	0.725	ERR
52	0.712	0.741	ERR
53	1.774	0.878	OK
54	0.306	0.852	ERR
55	0.403	0.806	ERR
56	0.575	0.808	ERR
57	0.698	0.807	ERR
58	1.790	0.929	OK
59	1.810	0.933	OK
60	0.684	0.915	ERR
61	0.400	0.915	ERR
62	0.865	0.930	ERR
63	0.433	0.796	ERR
64	0.290	0.795	ERR
65	0.828	0.837	ERR
66	0.696	0.849	ERR
67	0.580	0.838	ERR
68	0.701	0.729	ERR
69	0.702	0.618	ERR
70	0.738	0.623	ERR
71	0.586	0.642	ERR
72	0.844	0.640	ERR
73	0.287	0.625	ERR
74	0.449	0.641	ERR
75	0.419	0.600	ERR
76	0.594	0.590	ERR
77	0.422	0.574	ERR
78	1.778	0.682	OK
79	0.706	0.682	ERR
80	0.571	0.666	ERR
81	0.305	0.638	ERR
82	0.572	0.610	ERR
83	0.712	0.653	ERR
84	0.706	0.679	ERR
85	0.403	0.677	ERR
86	0.691	0.687	ERR
87	0.713	0.716	ERR
88	0.550	0.593	ERR
89	0.838	0.606	ERR
90	0.700	0.619	ERR
91	1.797	0.768	OK
92	0.405	0.751	ERR
93	0.304	0.711	ERR
94	0.726	0.713	ERR
95	0.866	0.759	ERR
96	0.423	0.732	ERR
97	0.303	0.691	ERR
98	0.405	0.676	ERR
99	0.545	0.647	ERR
100	0.565	0.634	ERR
101	0.560	0.510	ERR
102	1.756	0.645	OK
103	0.702	0.685	ERR
104	0.716	0.684	ERR
105	0.884	0.686	ERR
106	0.448	0.688	ERR
107	1.777	0.836	OK
108	0.848	0.880	ERR
