#req	time (sec)	avg. time (sec)	mapping
228	0.554	0.676	ERR
229	0.411	0.686	ERR
230	0.748	0.716	ERR
231	0.709	0.746	ERR
232	0.711	0.776	ERR
233	1.843	0.872	OK
234	1.849	1.000	OK
235	0.581	0.971	ERR
236	0.452	0.827	ERR
237	0.575	0.843	ERR
238	1.905	0.979	OK
239	0.893	1.027	ERR
240	0.598	1.012	ERR
241	0.555	0.996	ERR
242	0.412	0.966	ERR
243	0.559	0.838	ERR
244	0.877	0.741	ERR
245	0.414	0.724	ERR
246	0.565	0.735	ERR
247	0.412	0.719	ERR
248	0.705	0.599	ERR
249	0.569	0.567	ERR
250	0.412	0.548	ERR
251	0.565	0.549	ERR
252	0.888	0.597	ERR
253	0.710	0.612	ERR
254	0.567	0.581	ERR
255	0.718	0.611	ERR
256	0.742	0.629	ERR
257	0.576	0.645	ERR
258	0.739	0.649	ERR
259	1.758	0.767	OK
260	0.295	0.756	ERR
261	0.559	0.755	ERR
262	0.863	0.753	ERR
263	0.562	0.738	ERR
264	0.878	0.769	ERR
265	0.452	0.742	ERR
266	0.578	0.726	ERR
267	0.428	0.711	ERR
268	1.785	0.816	OK
269	1.805	0.820	OK
270	0.440	0.835	ERR
271	1.752	0.954	OK
272	0.594	0.927	ERR
273	0.584	0.929	ERR
274	0.432	0.885	ERR
275	0.878	0.928	ERR
276	0.720	0.942	ERR
277	0.438	0.943	ERR
278	0.292	0.794	ERR
279	0.860	0.699	ERR
280	0.749	0.730	ERR
281	0.756	0.630	ERR
282	0.716	0.643	ERR
283	0.740	0.658	ERR
284	0.413	0.656	ERR
285	0.853	0.654	ERR
286	0.559	0.637	ERR
287	0.580	0.652	ERR
288	0.566	0.679	ERR
289	0.557	0.649	ERR
290	0.857	0.660	ERR
291	0.596	0.644	ERR
292	0.581	0.630	ERR
293	0.894	0.645	ERR
294	0.571	0.661	ERR
295	0.415	0.617	ERR
296	0.404	0.602	ERR
297	0.569	0.601	ERR
298	0.706	0.615	ERR
299	0.296	0.589	ERR
300	0.701	0.573	ERR
301	0.275	0.541	ERR
302	0.736	0.557	ERR
303	0.430	0.510	ERR
304	0.590	0.512	ERR
