#req	time (sec)	avg. time (sec)	mapping
0	0.424	0.000	ERR
1	0.886	0.000	ERR
2	0.295	0.000	ERR
3	0.413	0.000	ERR
4	0.601	0.000	ERR
5	0.575	0.000	ERR
6	0.713	0.000	ERR
7	1.810	0.000	OK
8	0.417	0.000	ERR
9	0.854	0.000	ERR
10	0.577	0.714	ERR
11	0.572	0.683	ERR
12	0.701	0.723	ERR
13	0.557	0.738	ERR
14	0.570	0.735	ERR
15	0.849	0.762	ERR
16	0.740	0.765	ERR
17	0.447	0.629	ERR
18	0.717	0.659	ERR
19	0.416	0.615	ERR
20	1.834	0.740	OK
21	0.591	0.742	ERR
22	1.849	0.857	OK
23	0.606	0.862	ERR
24	0.159	0.821	ERR
25	0.711	0.807	ERR
26	0.557	0.789	ERR
27	0.294	0.773	ERR
28	0.455	0.747	ERR
29	0.560	0.761	ERR
30	0.546	0.633	ERR
31	0.745	0.648	ERR
32	0.882	0.551	ERR
33	0.432	0.534	ERR
34	0.573	0.575	ERR
35	0.415	0.546	ERR
36	1.891	0.679	OK
37	0.566	0.706	ERR
38	0.557	0.717	ERR
39	0.586	0.719	ERR
40	0.846	0.749	ERR
41	0.442	0.719	ERR
42	0.426	0.673	ERR
43	0.849	0.715	ERR
44	0.573	0.715	ERR
45	0.882	0.762	ERR
46	0.709	0.644	ERR
47	0.436	0.631	ERR
48	0.434	0.618	ERR
49	0.435	0.603	ERR
50	0.563	0.575	ERR
51	0.863	0.617	ERR
52	0.720	0.646	ERR
53	1.812	0.743	OK
54	0.450	0.730	ERR
55	0.558	0.698	ERR
56	0.454	0.672	ERR
57	0.710	0.700	ERR
58	0.559	0.712	ERR
59	1.837	0.852	OK
60	0.852	0.881	ERR
61	0.422	0.837	ERR
62	0.416	0.807	ERR
63	0.412	0.667	ERR
64	0.295	0.651	ERR
65	0.855	0.681	ERR
66	0.709	0.707	ERR
67	0.297	0.665	ERR
68	0.416	0.651	ERR
69	0.724	0.540	ERR
70	0.415	0.496	ERR
71	0.570	0.511	ERR
72	0.864	0.556	ERR
73	0.901	0.605	ERR
74	1.893	0.764	OK
75	0.441	0.723	ERR
76	0.454	0.698	ERR
77	0.417	0.710	ERR
78	0.864	0.754	ERR
79	0.745	0.757	ERR
80	0.736	0.789	ERR
81	0.418	0.773	ERR
82	0.574	0.745	ERR
83	0.315	0.686	ERR
84	0.701	0.567	ERR
85	0.418	0.564	ERR
86	0.713	0.590	ERR
87	0.566	0.605	ERR
88	0.713	0.590	ERR
89	0.416	0.557	ERR
90	0.289	0.512	ERR
91	0.416	0.512	ERR
92	0.565	0.511	ERR
93	0.712	0.551	ERR
94	0.738	0.555	ERR
95	0.560	0.569	ERR
96	0.874	0.585	ERR
97	0.299	0.558	ERR
98	0.297	0.517	ERR
99	0.716	0.546	ERR
100	0.881	0.606	ERR
101	0.580	0.622	ERR
102	1.785	0.744	OK
103	0.304	0.703	ERR
104	0.298	0.659	ERR
105	0.585	0.662	ERR
106	1.850	0.759	OK
107	0.565	0.786	ERR
108	0.711	0.828	ERR
109	0.141	0.770	ERR
110	0.417	0.724	ERR
111	0.299	0.696	ERR
112	0.719	0.589	ERR
113	0.300	0.589	ERR
114	0.701	0.629	ERR
115	1.842	0.755	OK
116	0.298	0.599	ERR
117	0.587	0.602	ERR
118	0.722	0.603	ERR
119	0.444	0.633	ERR
120	0.577	0.649	ERR
121	1.850	0.804	OK
122	0.871	0.819	ERR
123	0.320	0.821	ERR
124	0.418	0.793	ERR
125	0.589	0.668	ERR
126	1.829	0.821	OK
127	1.859	0.948	OK
128	0.437	0.920	ERR
129	0.859	0.961	ERR
130	1.843	1.088	OK
131	0.878	0.990	ERR
132	0.418	0.945	ERR
133	0.429	0.956	ERR
134	0.442	0.958	ERR
135	1.855	1.085	OK
136	0.602	0.962	ERR
137	0.835	0.860	ERR
138	0.581	0.874	ERR
139	0.871	0.875	ERR
140	0.596	0.751	ERR
141	0.426	0.705	ERR
142	0.894	0.753	ERR
143	0.719	0.782	ERR
144	0.589	0.797	ERR
145	1.852	0.796	OK
146	0.899	0.826	ERR
147	0.604	0.803	ERR
148	0.421	0.787	ERR
149	0.457	0.746	ERR
150	0.757	0.762	ERR
151	0.322	0.751	ERR
152	0.573	0.719	ERR
153	0.734	0.721	ERR
154	0.890	0.751	ERR
155	0.564	0.622	ERR
156	0.427	0.575	ERR
157	0.312	0.546	ERR
158	0.880	0.592	ERR
159	0.420	0.588	ERR
160	0.301	0.542	ERR
161	0.739	0.584	ERR
162	0.459	0.572	ERR
163	0.587	0.558	ERR
164	0.279	0.497	ERR
165	0.593	0.500	ERR
166	0.719	0.529	ERR
167	0.725	0.570	ERR
168	0.704	0.553	ERR
169	0.594	0.570	ERR
170	0.438	0.584	ERR
171	0.877	0.598	ERR
172	0.564	0.608	ERR
173	0.569	0.606	ERR
174	0.418	0.620	ERR
175	0.736	0.635	ERR
176	0.733	0.636	ERR
177	0.713	0.635	ERR
178	1.943	0.759	OK
179	0.439	0.743	ERR
180	0.737	0.773	ERR
181	0.418	0.727	ERR
182	0.865	0.757	ERR
183	0.563	0.756	ERR
184	0.314	0.746	ERR
185	0.301	0.703	ERR
186	0.423	0.672	ERR
187	0.418	0.642	ERR
188	0.594	0.507	ERR
189	0.588	0.522	ERR
190	0.418	0.490	ERR
191	1.906	0.639	OK
192	0.576	0.610	ERR
193	0.310	0.585	ERR
194	0.417	0.595	ERR
195	0.708	0.636	ERR
196	0.580	0.652	ERR
197	0.614	0.671	ERR
198	0.173	0.629	ERR
199	0.323	0.602	ERR
200	1.860	0.747	OK
201	0.730	0.629	ERR
202	0.570	0.628	ERR
203	0.421	0.639	ERR
204	0.719	0.670	ERR
205	0.727	0.672	ERR
206	0.441	0.658	ERR
207	0.723	0.669	ERR
208	0.420	0.694	ERR
209	0.421	0.703	ERR
210	0.437	0.561	ERR
211	0.419	0.530	ERR
212	0.569	0.530	ERR
213	0.572	0.545	ERR
214	0.299	0.503	ERR
215	0.586	0.489	ERR
216	0.421	0.487	ERR
217	0.570	0.471	ERR
218	0.310	0.460	ERR
219	0.418	0.460	ERR
220	0.575	0.474	ERR
221	0.463	0.478	ERR
222	0.714	0.493	ERR
223	0.418	0.477	ERR
224	0.297	0.477	ERR
225	0.703	0.489	ERR
226	0.446	0.491	ERR
227	0.588	0.493	ERR
228	0.440	0.506	ERR
229	0.419	0.506	ERR
230	0.569	0.506	ERR
231	0.421	0.501	ERR
232	0.710	0.501	ERR
233	0.751	0.534	ERR
234	0.451	0.550	ERR
235	0.874	0.567	ERR
236	0.868	0.609	ERR
237	0.418	0.592	ERR
238	0.852	0.633	ERR
239	0.439	0.635	ERR
240	0.595	0.638	ERR
241	0.420	0.638	ERR
242	1.825	0.749	OK
243	0.579	0.732	ERR
244	0.753	0.763	ERR
245	0.419	0.717	ERR
246	0.420	0.672	ERR
247	0.314	0.662	ERR
248	0.567	0.633	ERR
249	0.580	0.647	ERR
250	0.578	0.646	ERR
251	0.550	0.659	ERR
252	0.444	0.520	ERR
253	0.602	0.523	ERR
254	0.565	0.504	ERR
255	0.432	0.505	ERR
256	0.872	0.550	ERR
257	0.418	0.561	ERR
258	0.441	0.548	ERR
259	0.569	0.547	ERR
260	0.419	0.531	ERR
261	0.298	0.506	ERR
262	0.726	0.534	ERR
263	0.866	0.561	ERR
264	0.605	0.565	ERR
265	0.284	0.550	ERR
266	0.753	0.538	ERR
267	0.905	0.587	ERR
268	0.454	0.588	ERR
269	0.708	0.602	ERR
270	0.911	0.651	ERR
271	0.419	0.663	ERR
272	0.594	0.650	ERR
273	0.580	0.621	ERR
274	0.319	0.593	ERR
275	0.315	0.596	ERR
276	0.742	0.595	ERR
277	0.882	0.593	ERR
278	0.443	0.592	ERR
279	0.298	0.550	ERR
280	0.562	0.516	ERR
281	0.420	0.516	ERR
282	0.436	0.500	ERR
283	0.280	0.470	ERR
284	0.417	0.480	ERR
285	0.419	0.490	ERR
286	1.868	0.602	OK
287	0.893	0.604	ERR
288	0.719	0.631	ERR
289	0.866	0.688	ERR
290	0.429	0.675	ERR
291	0.717	0.704	ERR
292	0.462	0.707	ERR
293	0.562	0.735	ERR
294	0.449	0.738	ERR
295	0.439	0.740	ERR
296	1.823	0.736	OK
297	0.746	0.721	ERR
298	0.470	0.696	ERR
299	0.470	0.657	ERR
300	0.760	0.690	ERR
301	1.870	0.805	OK
302	0.745	0.833	ERR
303	1.892	0.966	OK
304	0.579	0.979	ERR
305	0.717	1.007	ERR
306	0.571	0.882	ERR
307	0.573	0.865	ERR
308	0.578	0.875	ERR
309	0.449	0.873	ERR
310	0.421	0.839	ERR
311	0.572	0.710	ERR
312	0.718	0.707	ERR
313	0.733	0.591	ERR
314	0.859	0.619	ERR
315	0.732	0.620	ERR
316	0.572	0.621	ERR
317	0.565	0.620	ERR
318	0.733	0.635	ERR
319	0.596	0.650	ERR
320	0.298	0.638	ERR
321	0.586	0.639	ERR
322	1.848	0.752	OK
323	0.599	0.739	ERR
324	0.444	0.697	ERR
325	0.851	0.709	ERR
326	0.298	0.682	ERR
327	0.888	0.714	ERR
328	0.722	0.713	ERR
329	0.567	0.710	ERR
330	0.594	0.740	ERR
331	0.615	0.743	ERR
332	0.721	0.630	ERR
333	0.436	0.614	ERR
334	0.309	0.600	ERR
335	0.581	0.573	ERR
336	0.404	0.584	ERR
337	0.574	0.552	ERR
338	0.876	0.568	ERR
339	1.856	0.697	OK
340	0.861	0.723	ERR
341	0.440	0.706	ERR
342	0.857	0.719	ERR
343	0.733	0.749	ERR
344	0.708	0.789	ERR
345	0.459	0.777	ERR
346	0.461	0.782	ERR
347	0.587	0.784	ERR
348	0.896	0.786	ERR
349	0.568	0.657	ERR
350	0.835	0.654	ERR
351	1.799	0.790	OK
352	0.293	0.734	ERR
353	1.771	0.838	OK
354	0.849	0.852	ERR
355	0.295	0.836	ERR
356	0.571	0.847	ERR
357	0.729	0.861	ERR
358	0.558	0.827	ERR
359	0.435	0.814	ERR
360	0.894	0.819	ERR
361	0.416	0.681	ERR
362	0.716	0.723	ERR
363	1.938	0.740	OK
364	1.761	0.831	OK
365	0.872	0.889	ERR
366	0.558	0.888	ERR
367	0.884	0.903	ERR
368	0.879	0.935	ERR
369	1.821	1.074	OK
370	0.725	1.057	ERR
371	0.139	1.029	ERR
372	0.722	1.030	ERR
373	0.278	0.864	ERR
374	0.438	0.732	ERR
375	0.571	0.702	ERR
376	0.714	0.717	ERR
377	0.905	0.719	ERR
378	0.301	0.661	ERR
379	0.440	0.523	ERR
380	0.592	0.510	ERR
381	0.415	0.538	ERR
382	0.419	0.507	ERR
383	0.860	0.566	ERR
384	0.559	0.578	ERR
385	0.418	0.562	ERR
386	1.826	0.674	OK
387	0.873	0.670	ERR
388	0.297	0.670	ERR
389	0.878	0.714	ERR
390	0.311	0.686	ERR
391	0.566	0.701	ERR
392	1.797	0.838	OK
393	0.139	0.766	ERR
394	0.858	0.796	ERR
395	1.840	0.938	OK
396	1.801	0.936	OK
397	0.706	0.919	ERR
398	0.299	0.919	ERR
399	0.726	0.904	ERR

---- Final results ----
400 NS requests
365 failed requests
35 success requests
272.731 ellapsed time
