#req	time (sec)	avg. time (sec)	mapping
0	0.727	0.000	ERR
1	0.894	0.000	ERR
2	0.898	0.000	ERR
3	0.599	0.000	ERR
4	0.593	0.000	ERR
5	0.453	0.000	ERR
6	0.583	0.000	ERR
7	0.466	0.000	ERR
8	0.907	0.000	ERR
9	0.878	0.000	ERR
10	0.574	0.685	ERR
11	0.592	0.654	ERR
12	0.730	0.637	ERR
13	0.741	0.652	ERR
14	0.739	0.666	ERR
15	1.957	0.817	OK
16	1.856	0.944	OK
17	0.903	0.988	ERR
18	0.315	0.929	ERR
19	0.726	0.913	ERR
20	0.424	0.898	ERR
21	0.577	0.897	ERR
22	0.430	0.867	ERR
23	0.445	0.837	ERR
24	0.887	0.852	ERR
25	1.843	0.841	OK
26	0.438	0.699	ERR
27	0.577	0.666	ERR
28	0.423	0.677	ERR
29	0.317	0.636	ERR
30	0.454	0.639	ERR
31	0.303	0.612	ERR
32	0.581	0.627	ERR
33	0.590	0.641	ERR
34	0.597	0.612	ERR
35	0.426	0.471	ERR
36	0.604	0.487	ERR
37	0.755	0.505	ERR
38	1.858	0.648	OK
39	0.595	0.676	ERR
40	0.891	0.720	ERR
41	0.321	0.722	ERR
42	0.619	0.725	ERR
43	0.728	0.739	ERR
44	0.608	0.740	ERR
45	0.914	0.789	ERR
46	0.451	0.774	ERR
47	0.892	0.788	ERR
48	0.585	0.660	ERR
49	0.304	0.631	ERR
50	0.567	0.599	ERR
51	0.442	0.611	ERR
52	0.574	0.606	ERR
53	0.457	0.579	ERR
54	0.595	0.578	ERR
55	0.299	0.517	ERR
56	0.315	0.503	ERR
57	0.302	0.444	ERR
58	1.883	0.574	OK
59	0.304	0.574	ERR
60	0.615	0.579	ERR
61	0.598	0.594	ERR
62	0.316	0.568	ERR
63	1.840	0.707	OK
64	0.887	0.736	ERR
65	0.720	0.778	ERR
66	0.617	0.808	ERR
67	0.751	0.853	ERR
68	0.584	0.723	ERR
69	0.303	0.723	ERR
70	0.307	0.692	ERR
71	0.580	0.690	ERR
72	0.448	0.704	ERR
73	0.433	0.563	ERR
74	0.316	0.506	ERR
75	0.723	0.506	ERR
76	1.954	0.640	OK
77	0.426	0.607	ERR
78	0.303	0.579	ERR
79	0.425	0.591	ERR
80	0.568	0.618	ERR
81	0.322	0.592	ERR
82	0.304	0.577	ERR
83	0.757	0.610	ERR
84	0.575	0.636	ERR
85	0.760	0.639	ERR
86	0.878	0.532	ERR
87	0.756	0.565	ERR
88	0.453	0.580	ERR
89	0.891	0.626	ERR
90	0.414	0.611	ERR
91	0.603	0.639	ERR
92	1.916	0.800	OK
93	0.618	0.787	ERR
94	0.615	0.791	ERR
95	0.433	0.758	ERR
96	0.305	0.701	ERR
97	0.581	0.683	ERR
98	0.927	0.730	ERR
99	0.433	0.685	ERR
100	0.427	0.686	ERR
101	0.614	0.687	ERR
102	0.428	0.538	ERR
103	0.905	0.567	ERR
104	0.429	0.548	ERR
105	0.759	0.581	ERR
106	0.429	0.593	ERR
107	1.894	0.725	OK
108	0.303	0.662	ERR
109	1.957	0.815	OK
110	0.425	0.814	ERR
111	0.874	0.840	ERR
112	1.938	0.991	OK
113	0.896	0.990	ERR
114	0.901	1.038	ERR
115	0.455	1.007	ERR
116	0.777	1.042	ERR
117	1.840	1.037	OK
118	0.572	1.064	ERR
119	0.307	0.899	ERR
120	0.745	0.931	ERR
121	0.447	0.888	ERR
122	0.427	0.737	ERR
123	0.756	0.723	ERR
124	0.888	0.721	ERR
125	0.745	0.750	ERR
126	0.426	0.715	ERR
127	0.590	0.590	ERR
128	0.567	0.590	ERR
129	0.545	0.614	ERR
130	0.701	0.609	ERR
131	0.593	0.624	ERR
132	0.306	0.612	ERR
133	0.857	0.622	ERR
134	0.564	0.590	ERR
135	0.570	0.572	ERR
136	0.427	0.572	ERR
137	0.870	0.600	ERR
138	0.591	0.602	ERR
139	0.424	0.590	ERR
140	0.871	0.607	ERR
141	0.304	0.578	ERR
142	0.573	0.605	ERR
143	0.427	0.562	ERR
144	0.899	0.596	ERR
145	1.952	0.734	OK
146	0.447	0.736	ERR
147	0.427	0.691	ERR
148	0.721	0.704	ERR
149	0.881	0.750	ERR
150	1.880	0.851	OK
151	0.425	0.863	ERR
152	0.601	0.866	ERR
153	1.904	1.014	OK
154	0.309	0.955	ERR
155	0.728	0.832	ERR
156	0.746	0.862	ERR
157	0.755	0.895	ERR
158	0.580	0.881	ERR
159	0.431	0.836	ERR
160	0.471	0.695	ERR
161	0.737	0.726	ERR
162	1.882	0.854	OK
163	1.847	0.849	OK
164	0.466	0.864	ERR
165	0.585	0.850	ERR
166	0.570	0.832	ERR
167	0.736	0.831	ERR
168	1.843	0.957	OK
169	0.584	0.972	ERR
170	0.442	0.969	ERR
171	0.899	0.985	ERR
172	0.579	0.855	ERR
173	0.905	0.761	ERR
174	0.303	0.745	ERR
175	0.465	0.733	ERR
176	0.451	0.721	ERR
177	0.450	0.692	ERR
178	0.451	0.553	ERR
179	0.585	0.553	ERR
180	0.749	0.584	ERR
181	0.307	0.524	ERR
182	0.717	0.538	ERR
183	0.747	0.522	ERR
184	0.586	0.551	ERR
185	0.877	0.592	ERR
186	0.578	0.605	ERR
187	0.466	0.606	ERR
188	0.601	0.621	ERR
189	1.851	0.748	OK
190	0.732	0.746	ERR
191	0.425	0.758	ERR
192	0.574	0.744	ERR
193	0.728	0.742	ERR
194	0.870	0.770	ERR
195	0.789	0.761	ERR
196	0.614	0.765	ERR
197	0.306	0.749	ERR
198	0.451	0.734	ERR
199	0.895	0.638	ERR
200	0.736	0.639	ERR
201	0.453	0.642	ERR
202	0.302	0.614	ERR
203	0.303	0.572	ERR
204	0.417	0.527	ERR
205	0.575	0.505	ERR
206	0.476	0.491	ERR
207	0.721	0.533	ERR
208	0.571	0.545	ERR
209	0.882	0.544	ERR
210	1.893	0.659	OK
211	0.907	0.705	ERR
212	0.319	0.706	ERR
213	0.594	0.736	ERR
214	0.445	0.738	ERR
215	0.750	0.756	ERR
216	0.428	0.751	ERR
217	0.585	0.737	ERR
218	0.584	0.739	ERR
219	0.746	0.725	ERR
220	0.324	0.568	ERR
