#req	time (sec)	avg. time (sec)	mapping
0	0.440	0.000	ERR
1	0.879	0.000	ERR
2	0.600	0.000	ERR
3	0.557	0.000	ERR
4	0.411	0.000	ERR
5	0.287	0.000	ERR
6	0.724	0.000	ERR
7	0.452	0.000	ERR
8	0.295	0.000	ERR
9	0.299	0.000	ERR
10	0.570	0.507	ERR
11	0.581	0.478	ERR
12	0.415	0.459	ERR
13	0.560	0.459	ERR
14	0.742	0.492	ERR
15	0.295	0.493	ERR
16	0.880	0.509	ERR
17	0.446	0.508	ERR
18	0.726	0.551	ERR
19	0.309	0.552	ERR
20	0.718	0.567	ERR
21	0.901	0.599	ERR
22	1.871	0.745	OK
23	0.559	0.744	ERR
24	0.564	0.727	ERR
25	0.415	0.739	ERR
26	1.863	0.837	OK
27	0.295	0.822	ERR
28	0.725	0.822	ERR
29	0.564	0.847	ERR
30	0.404	0.816	ERR
31	1.839	0.910	OK
32	0.416	0.764	ERR
33	0.415	0.750	ERR
34	0.417	0.735	ERR
35	0.727	0.767	ERR
36	0.745	0.655	ERR
37	0.418	0.667	ERR
38	0.291	0.624	ERR
39	0.580	0.625	ERR
40	0.877	0.672	ERR
41	0.299	0.519	ERR
42	0.587	0.536	ERR
43	0.700	0.564	ERR
44	0.431	0.565	ERR
45	0.864	0.579	ERR
46	0.298	0.534	ERR
47	0.900	0.583	ERR
48	0.588	0.612	ERR
49	0.869	0.641	ERR
50	0.889	0.642	ERR
51	0.566	0.669	ERR
52	0.769	0.687	ERR
53	0.878	0.705	ERR
54	0.729	0.735	ERR
55	0.562	0.705	ERR
56	0.418	0.717	ERR
57	0.735	0.700	ERR
58	0.445	0.686	ERR
59	0.415	0.641	ERR
60	1.870	0.739	OK
61	0.437	0.726	ERR
62	0.439	0.693	ERR
63	0.861	0.691	ERR
64	1.817	0.800	OK
65	0.299	0.774	ERR
66	1.831	0.915	OK
67	0.720	0.913	ERR
68	0.735	0.942	ERR
69	0.738	0.975	ERR
70	0.607	0.849	ERR
71	0.725	0.877	ERR
72	0.882	0.922	ERR
73	0.739	0.909	ERR
74	0.734	0.801	ERR
75	0.566	0.828	ERR
76	0.586	0.703	ERR
77	0.316	0.663	ERR
78	1.832	0.772	OK
79	0.724	0.771	ERR
80	0.771	0.788	ERR
81	0.419	0.757	ERR
82	0.453	0.714	ERR
83	0.447	0.685	ERR
84	0.729	0.684	ERR
85	0.569	0.685	ERR
86	0.759	0.702	ERR
87	0.753	0.746	ERR
88	0.721	0.635	ERR
89	0.444	0.607	ERR
90	0.599	0.589	ERR
91	0.566	0.604	ERR
92	0.299	0.589	ERR
93	0.418	0.586	ERR
94	0.562	0.569	ERR
95	0.418	0.554	ERR
96	0.736	0.552	ERR
97	0.745	0.551	ERR
98	0.566	0.535	ERR
99	0.319	0.523	ERR
100	0.586	0.521	ERR
101	0.570	0.522	ERR
102	0.862	0.578	ERR
103	0.419	0.578	ERR
104	0.568	0.579	ERR
105	0.417	0.579	ERR
106	0.592	0.564	ERR
107	0.594	0.549	ERR
108	0.874	0.580	ERR
109	1.902	0.738	OK
110	0.418	0.722	ERR
111	1.832	0.848	OK
112	1.861	0.948	OK
113	0.866	0.992	ERR
114	0.420	0.978	ERR
115	0.292	0.965	ERR
116	0.748	0.981	ERR
117	1.830	1.104	OK
118	0.713	1.088	ERR
119	0.569	0.955	ERR
120	0.444	0.958	ERR
121	1.818	0.956	OK
122	0.421	0.812	ERR
123	0.591	0.785	ERR
124	0.445	0.787	ERR
125	0.456	0.803	ERR
126	0.738	0.802	ERR
127	0.570	0.677	ERR
128	0.411	0.646	ERR
129	0.864	0.676	ERR
130	0.288	0.660	ERR
131	0.889	0.567	ERR
132	0.950	0.620	ERR
133	0.412	0.602	ERR
134	0.894	0.647	ERR
135	0.588	0.660	ERR
136	0.422	0.629	ERR
137	0.568	0.629	ERR
138	0.575	0.645	ERR
139	0.421	0.601	ERR
140	0.595	0.631	ERR
141	0.585	0.601	ERR
142	0.879	0.594	ERR
143	0.744	0.627	ERR
144	1.932	0.731	OK
145	0.444	0.717	ERR
146	0.418	0.716	ERR
147	1.835	0.843	OK
148	0.716	0.857	ERR
149	0.741	0.889	ERR
150	0.567	0.886	ERR
151	0.575	0.885	ERR
152	0.419	0.839	ERR
153	0.877	0.852	ERR
154	0.565	0.716	ERR
155	0.426	0.714	ERR
156	0.570	0.729	ERR
157	0.763	0.622	ERR
158	0.889	0.639	ERR
159	0.302	0.595	ERR
160	0.431	0.582	ERR
161	0.603	0.584	ERR
162	1.865	0.729	OK
163	0.857	0.727	ERR
164	0.278	0.698	ERR
165	0.596	0.715	ERR
166	0.723	0.731	ERR
167	0.884	0.743	ERR
168	0.706	0.725	ERR
169	0.726	0.767	ERR
170	0.578	0.782	ERR
171	0.418	0.763	ERR
172	1.938	0.770	OK
173	0.846	0.769	ERR
174	0.867	0.828	ERR
175	0.861	0.854	ERR
176	0.408	0.823	ERR
177	0.724	0.807	ERR
178	1.842	0.921	OK
179	0.422	0.890	ERR
180	0.730	0.906	ERR
181	0.578	0.921	ERR
182	0.314	0.759	ERR
183	0.583	0.733	ERR
184	0.616	0.708	ERR
185	0.718	0.694	ERR
186	0.411	0.694	ERR
187	1.865	0.808	OK
188	0.604	0.684	ERR
189	1.803	0.822	OK
190	0.418	0.791	ERR
191	0.563	0.789	ERR
192	0.602	0.818	ERR
193	0.594	0.819	ERR
194	1.845	0.942	OK
195	0.739	0.944	ERR
196	0.599	0.963	ERR
197	0.565	0.833	ERR
198	0.300	0.803	ERR
199	0.419	0.664	ERR
200	0.415	0.664	ERR
201	0.455	0.653	ERR
202	0.592	0.652	ERR
203	0.578	0.651	ERR
204	0.715	0.538	ERR
205	0.878	0.552	ERR
206	0.299	0.521	ERR
207	0.420	0.507	ERR
208	0.302	0.507	ERR
209	0.299	0.495	ERR
210	0.557	0.509	ERR
211	0.594	0.523	ERR
212	0.722	0.536	ERR
213	0.301	0.509	ERR
214	0.577	0.495	ERR
215	1.902	0.597	OK
216	0.421	0.609	ERR
217	0.556	0.623	ERR
218	0.875	0.680	ERR
219	0.280	0.678	ERR
220	0.885	0.711	ERR
221	0.720	0.724	ERR
222	0.932	0.745	ERR
223	0.448	0.760	ERR
224	0.418	0.744	ERR
225	0.277	0.581	ERR
226	1.870	0.726	OK
227	0.319	0.703	ERR
228	0.578	0.673	ERR
229	0.441	0.689	ERR
230	0.878	0.688	ERR
231	0.414	0.658	ERR
232	0.727	0.637	ERR
233	0.474	0.640	ERR
234	1.800	0.778	OK
235	0.850	0.835	ERR
236	1.799	0.828	OK
237	0.579	0.854	ERR
238	0.725	0.869	ERR
239	0.451	0.870	ERR
240	0.299	0.812	ERR
241	0.567	0.827	ERR
242	1.834	0.938	OK
243	0.419	0.932	ERR
244	0.440	0.796	ERR
245	0.469	0.758	ERR
246	0.421	0.620	ERR
247	0.715	0.634	ERR
248	0.605	0.622	ERR
249	0.422	0.619	ERR
250	0.720	0.661	ERR
251	0.722	0.677	ERR
252	0.419	0.535	ERR
253	0.868	0.580	ERR
254	0.279	0.564	ERR
255	0.589	0.576	ERR
256	0.420	0.576	ERR
257	0.279	0.532	ERR
258	0.288	0.501	ERR
259	0.420	0.500	ERR
260	0.300	0.458	ERR
261	0.899	0.476	ERR
262	0.431	0.477	ERR
263	1.873	0.578	OK
264	0.420	0.592	ERR
265	0.427	0.576	ERR
266	0.601	0.594	ERR
267	0.300	0.596	ERR
268	0.874	0.655	ERR
269	0.574	0.670	ERR
270	0.566	0.697	ERR
271	0.604	0.667	ERR
272	0.588	0.683	ERR
273	0.611	0.557	ERR
274	0.856	0.600	ERR
275	0.565	0.614	ERR
276	0.778	0.632	ERR
277	0.450	0.647	ERR
278	0.582	0.617	ERR
279	0.866	0.647	ERR
280	0.566	0.647	ERR
281	0.435	0.630	ERR
282	0.408	0.612	ERR
283	0.465	0.597	ERR
284	0.581	0.570	ERR
285	0.281	0.541	ERR
286	0.734	0.537	ERR
287	0.897	0.582	ERR
288	0.420	0.565	ERR
289	0.879	0.567	ERR
290	0.309	0.541	ERR
291	0.715	0.569	ERR
292	0.577	0.586	ERR
293	0.459	0.585	ERR
294	0.599	0.587	ERR
295	0.579	0.617	ERR
296	0.702	0.614	ERR
297	0.696	0.593	ERR
298	0.562	0.608	ERR
299	0.580	0.578	ERR
300	0.328	0.580	ERR
301	0.566	0.565	ERR
302	0.717	0.579	ERR
303	0.449	0.578	ERR
304	0.297	0.548	ERR
305	0.453	0.535	ERR
306	0.705	0.535	ERR
307	0.551	0.521	ERR
308	1.815	0.646	OK
309	1.787	0.767	OK
310	0.444	0.778	ERR
311	0.302	0.752	ERR
312	0.300	0.710	ERR
313	0.740	0.739	ERR
314	0.710	0.781	ERR
315	0.748	0.810	ERR
316	0.456	0.785	ERR
317	0.704	0.801	ERR
318	0.722	0.691	ERR
319	1.912	0.704	OK
320	0.420	0.701	ERR
321	0.611	0.732	ERR
322	0.278	0.730	ERR
323	0.592	0.715	ERR
324	0.587	0.703	ERR
325	0.437	0.672	ERR
326	0.421	0.669	ERR
327	0.314	0.630	ERR
328	0.299	0.587	ERR
329	0.566	0.453	ERR
330	0.467	0.457	ERR
331	0.447	0.441	ERR
332	1.881	0.601	OK
333	1.845	0.726	OK
334	0.568	0.725	ERR
335	0.312	0.712	ERR
336	0.699	0.740	ERR
337	0.595	0.768	ERR
338	0.924	0.830	ERR
339	1.837	0.958	OK
340	0.575	0.968	ERR
341	0.317	0.955	ERR
342	0.724	0.840	ERR
343	0.301	0.685	ERR
344	0.452	0.674	ERR
345	0.444	0.687	ERR
346	0.421	0.659	ERR
347	0.313	0.631	ERR
348	0.457	0.584	ERR
349	0.300	0.430	ERR
350	0.308	0.404	ERR
351	0.422	0.414	ERR
352	0.732	0.415	ERR
353	0.454	0.430	ERR
354	0.914	0.477	ERR
355	1.838	0.616	OK
356	0.548	0.629	ERR
357	1.760	0.773	OK
358	0.421	0.770	ERR
359	1.865	0.926	OK
360	0.439	0.939	ERR
361	0.731	0.970	ERR
362	0.460	0.943	ERR
363	0.438	0.941	ERR
364	1.883	1.038	OK
365	0.868	0.941	ERR
366	0.864	0.973	ERR
367	0.569	0.854	ERR
368	0.323	0.844	ERR
369	0.867	0.744	ERR
370	0.321	0.732	ERR
371	0.574	0.717	ERR
372	0.573	0.728	ERR
373	0.286	0.713	ERR
374	0.722	0.597	ERR
375	0.746	0.585	ERR
376	0.311	0.529	ERR
377	0.916	0.564	ERR
378	1.846	0.716	OK
379	1.884	0.818	OK
380	0.596	0.845	ERR
381	0.454	0.833	ERR
382	1.849	0.961	OK
383	0.715	1.004	ERR
384	0.278	0.960	ERR
385	0.442	0.929	ERR
386	0.420	0.940	ERR
387	0.421	0.890	ERR
388	0.727	0.779	ERR
389	0.571	0.647	ERR
390	0.730	0.661	ERR
391	0.570	0.672	ERR
392	0.722	0.560	ERR
393	0.586	0.547	ERR
394	0.867	0.605	ERR
395	0.420	0.603	ERR
396	1.873	0.749	OK
397	0.440	0.751	ERR
398	0.743	0.752	ERR
399	1.890	0.884	OK

---- Final results ----
400 NS requests
359 failed requests
41 success requests
279.182 ellapsed time
