#req	time (sec)	avg. time (sec)	mapping
0	0.586	0.000	ERR
1	0.868	0.000	ERR
2	0.414	0.000	ERR
3	0.317	0.000	ERR
4	0.422	0.000	ERR
5	0.588	0.000	ERR
6	0.735	0.000	ERR
7	0.727	0.000	ERR
8	0.872	0.000	ERR
9	0.414	0.000	ERR
10	0.576	0.593	ERR
11	0.604	0.567	ERR
12	0.881	0.613	ERR
13	1.773	0.759	OK
14	1.822	0.899	OK
15	0.847	0.925	ERR
16	0.847	0.936	ERR
17	0.556	0.919	ERR
18	0.729	0.905	ERR
19	0.562	0.920	ERR
20	0.871	0.949	ERR
21	0.579	0.947	ERR
22	0.567	0.915	ERR
23	0.310	0.769	ERR
24	0.707	0.658	ERR
25	0.571	0.630	ERR
26	0.567	0.602	ERR
27	0.590	0.606	ERR
28	1.797	0.712	OK
29	0.600	0.716	ERR
30	0.392	0.668	ERR
31	1.856	0.796	OK
32	0.863	0.825	ERR
33	0.413	0.836	ERR
34	0.413	0.806	ERR
35	0.714	0.821	ERR
36	0.414	0.805	ERR
37	0.723	0.818	ERR
38	0.555	0.694	ERR
39	0.563	0.691	ERR
40	0.299	0.681	ERR
41	0.558	0.551	ERR
42	0.414	0.507	ERR
43	0.439	0.509	ERR
44	0.291	0.497	ERR
45	0.871	0.513	ERR
46	0.298	0.501	ERR
47	0.298	0.459	ERR
48	0.585	0.462	ERR
49	1.820	0.587	OK
50	0.594	0.617	ERR
51	0.554	0.616	ERR
52	0.459	0.621	ERR
53	0.563	0.633	ERR
54	0.565	0.661	ERR
55	0.554	0.629	ERR
56	0.749	0.674	ERR
57	0.565	0.701	ERR
58	0.564	0.699	ERR
59	1.872	0.704	OK
60	0.743	0.719	ERR
61	0.592	0.723	ERR
62	1.878	0.865	OK
63	1.836	0.992	OK
64	1.861	1.121	OK
65	0.714	1.138	ERR
66	0.304	1.093	ERR
67	0.720	1.108	ERR
68	0.740	1.126	ERR
69	0.434	0.982	ERR
70	0.418	0.950	ERR
71	0.576	0.948	ERR
72	0.897	0.850	ERR
73	0.706	0.737	ERR
74	0.298	0.581	ERR
75	0.439	0.553	ERR
76	0.321	0.555	ERR
77	0.440	0.527	ERR
78	1.836	0.636	OK
79	0.741	0.667	ERR
80	0.566	0.682	ERR
81	0.737	0.698	ERR
82	0.584	0.667	ERR
83	0.706	0.667	ERR
84	0.277	0.665	ERR
85	0.575	0.678	ERR
86	0.574	0.704	ERR
87	0.573	0.717	ERR
88	0.445	0.578	ERR
89	0.441	0.548	ERR
90	0.719	0.563	ERR
91	0.755	0.565	ERR
92	0.622	0.569	ERR
93	0.565	0.555	ERR
94	0.554	0.582	ERR
95	0.291	0.554	ERR
96	0.278	0.524	ERR
97	0.745	0.541	ERR
98	0.417	0.539	ERR
99	0.744	0.569	ERR
100	0.297	0.527	ERR
101	0.583	0.510	ERR
102	0.584	0.506	ERR
103	0.848	0.534	ERR
104	0.909	0.570	ERR
105	0.561	0.597	ERR
106	0.750	0.644	ERR
107	1.737	0.743	OK
108	0.598	0.761	ERR
109	0.278	0.715	ERR
110	0.564	0.741	ERR
111	0.564	0.739	ERR
112	0.461	0.727	ERR
113	0.429	0.685	ERR
114	0.418	0.636	ERR
115	0.439	0.624	ERR
116	0.417	0.590	ERR
117	1.757	0.592	OK
118	0.438	0.576	ERR
119	0.299	0.579	ERR
120	0.729	0.595	ERR
121	0.145	0.553	ERR
122	0.562	0.563	ERR
123	0.566	0.577	ERR
124	0.309	0.566	ERR
125	0.299	0.552	ERR
126	1.836	0.694	OK
127	0.433	0.562	ERR
128	0.551	0.573	ERR
129	0.290	0.572	ERR
130	0.419	0.541	ERR
131	0.900	0.617	ERR
132	0.567	0.617	ERR
133	0.860	0.647	ERR
134	0.297	0.645	ERR
135	0.420	0.657	ERR
136	0.575	0.531	ERR
137	0.576	0.546	ERR
138	0.595	0.550	ERR
139	0.725	0.594	ERR
140	0.713	0.623	ERR
141	0.562	0.589	ERR
142	0.309	0.563	ERR
143	0.723	0.550	ERR
144	0.315	0.551	ERR
145	1.819	0.691	OK
146	0.709	0.705	ERR
147	0.561	0.703	ERR
148	0.716	0.715	ERR
149	1.823	0.825	OK
150	1.855	0.939	OK
151	0.595	0.943	ERR
152	0.584	0.970	ERR
153	0.871	0.985	ERR
154	0.416	0.995	ERR
155	0.858	0.899	ERR
156	0.469	0.875	ERR
157	0.422	0.861	ERR
158	0.734	0.863	ERR
159	0.281	0.709	ERR
160	0.562	0.579	ERR
161	0.431	0.563	ERR
162	0.287	0.533	ERR
