#req	time (sec)	avg. time (sec)	mapping
0	0.575	0.000	ERR
1	0.588	0.000	ERR
2	0.450	0.000	ERR
3	0.574	0.000	ERR
4	0.449	0.000	ERR
5	0.589	0.000	ERR
6	0.753	0.000	ERR
7	0.450	0.000	ERR
8	0.579	0.000	ERR
9	0.728	0.000	ERR
10	0.607	0.577	ERR
11	0.577	0.576	ERR
12	0.564	0.587	ERR
13	0.444	0.574	ERR
14	1.755	0.705	OK
15	0.860	0.732	ERR
16	1.820	0.838	OK
17	0.441	0.837	ERR
18	0.720	0.852	ERR
19	0.706	0.849	ERR
20	0.411	0.830	ERR
21	0.424	0.814	ERR
22	0.405	0.799	ERR
23	0.570	0.811	ERR
24	0.406	0.676	ERR
25	1.752	0.765	OK
26	0.703	0.654	ERR
27	0.290	0.639	ERR
28	1.819	0.749	OK
29	0.572	0.735	ERR
30	0.401	0.734	ERR
31	1.821	0.874	OK
32	0.295	0.863	ERR
33	0.411	0.847	ERR
34	0.576	0.864	ERR
35	0.711	0.760	ERR
36	0.700	0.760	ERR
37	0.742	0.805	ERR
38	0.542	0.677	ERR
39	0.577	0.678	ERR
40	0.869	0.724	ERR
41	0.849	0.627	ERR
42	0.586	0.656	ERR
43	0.424	0.658	ERR
44	0.297	0.630	ERR
45	0.423	0.601	ERR
46	0.756	0.606	ERR
47	0.449	0.577	ERR
48	0.592	0.582	ERR
49	0.298	0.554	ERR
50	0.602	0.528	ERR
51	0.306	0.473	ERR
52	0.705	0.485	ERR
53	1.802	0.623	OK
54	0.556	0.649	ERR
55	0.749	0.681	ERR
56	0.730	0.679	ERR
57	0.438	0.678	ERR
58	1.768	0.795	OK
59	0.701	0.836	ERR
60	1.761	0.952	OK
61	0.403	0.961	ERR
62	0.591	0.950	ERR
63	0.733	0.843	ERR
64	0.412	0.829	ERR
65	0.716	0.825	ERR
66	0.323	0.785	ERR
67	0.616	0.802	ERR
68	0.722	0.698	ERR
69	0.408	0.668	ERR
70	0.739	0.566	ERR
71	0.884	0.614	ERR
72	0.278	0.583	ERR
73	0.422	0.552	ERR
74	0.881	0.599	ERR
75	0.720	0.599	ERR
76	0.302	0.597	ERR
77	0.415	0.577	ERR
78	0.697	0.575	ERR
79	0.717	0.606	ERR
80	0.605	0.592	ERR
81	0.300	0.534	ERR
82	0.448	0.551	ERR
83	0.579	0.566	ERR
