#req	time (sec)	avg. time (sec)	mapping
234	2.888	1.638	OK
235	0.027	1.497	ERR
236	0.019	1.497	ERR
237	0.024	1.029	ERR
238	0.032	1.001	ERR
239	12.945	2.293	OK
240	0.013	2.292	ERR
241	0.276	1.626	ERR
242	0.016	1.625	ERR
243	0.226	1.647	OK
244	6.355	1.993	OK
245	0.019	1.992	ERR
246	0.022	1.993	ERR
247	1.026	2.093	ERR
248	5.883	2.678	OK
249	6.348	2.018	OK
250	0.039	2.021	ERR
251	0.020	1.995	ERR
252	0.024	1.996	ERR
253	0.024	1.976	ERR
254	0.023	1.343	ERR
255	0.019	1.343	ERR
256	1.657	1.506	OK
257	9.193	2.323	OK
258	0.024	1.737	ERR
259	9.140	2.016	OK
260	0.016	2.014	ERR
261	6.415	2.654	OK
262	1.349	2.786	ERR
263	4.783	3.262	OK
264	14.926	4.752	OK
265	10.961	5.846	OK
266	0.025	5.683	ERR
267	6.394	5.403	OK
268	0.016	5.402	ERR
269	0.019	4.490	ERR
270	0.021	4.491	ERR
271	0.020	3.851	ERR
272	7.294	4.446	OK
273	11.869	5.154	OK
274	0.032	3.665	ERR
275	0.024	2.571	ERR
276	0.026	2.571	ERR
277	6.061	2.538	OK
278	0.027	2.539	ERR
279	0.015	2.539	ERR
280	0.027	2.539	ERR
281	0.032	2.541	ERR
282	9.541	2.765	OK
283	3.833	1.962	OK
284	0.016	1.960	ERR
285	0.013	1.959	ERR
286	0.291	1.986	ERR
287	6.525	2.032	OK
288	0.013	2.031	ERR
289	0.025	2.032	ERR
290	0.016	2.030	ERR
291	0.022	2.029	ERR
292	0.012	1.077	ERR
293	6.612	1.354	OK
294	0.016	1.354	ERR
295	0.021	1.355	ERR
296	5.187	1.845	OK
297	0.024	1.195	ERR
298	0.019	1.195	ERR
299	2.991	1.492	OK
300	4.192	1.910	OK
301	7.260	2.633	OK
302	6.978	3.330	OK
303	0.022	2.671	ERR
304	8.710	3.540	OK
305	0.015	3.540	ERR
306	7.569	3.778	OK
307	5.983	4.374	OK
308	0.246	4.397	OK
309	9.058	5.003	OK
310	0.025	4.587	ERR
311	0.022	3.863	ERR
312	0.021	3.167	ERR
313	6.363	3.801	OK
314	0.015	2.932	ERR
315	0.010	2.931	ERR
316	10.460	3.220	OK
317	8.007	3.423	OK
